impurity,epsilon,p,delta_a,delta_b,n_samples,repetitions,wrong_rate,correct_rate,tie_rate,wrong_rate_se,mean_empirical_margin,std_empirical_margin
gini,,0.2,0.08,0.04,25,2000,0.386,0.5625,0.0515,0.01088586239119345,0.014512707699249495,0.07042012012782423
entropy,,0.2,0.08,0.04,25,2000,0.388,0.562,0.05,0.010896237882865811,0.01808097129059,0.09012593346511916
restricted_quadratic_global,0.15,0.2,0.08,0.04,25,2000,0.3845,0.543,0.0725,0.010877953621890469,0.012870567849007614,0.06506666833547818
restricted_quadratic_local,0.15,0.2,0.08,0.04,25,2000,0.473,0.4215,0.1055,0.011164027051203344,-0.004160373994700156,0.11151156199394865
restricted_entropy_global,0.15,0.2,0.08,0.04,25,2000,0.3725,0.53,0.0975,0.010810729623850556,0.014422533782792499,0.07187902787599283
restricted_entropy_local,0.15,0.2,0.08,0.04,25,2000,0.468,0.4265,0.1055,0.011157419056394719,-0.003200813528700207,0.11416324111727194
gini,,0.2,0.08,0.04,50,2000,0.321,0.6585,0.0205,0.010439324690802563,0.017663686852269926,0.04533381190737564
entropy,,0.2,0.08,0.04,50,2000,0.3235,0.656,0.0205,0.010460586742625864,0.021371434046487142,0.05575043907120912
restricted_quadratic_global,0.15,0.2,0.08,0.04,50,2000,0.308,0.645,0.047,0.010323177805307822,0.01563473801620462,0.04179806410664272
restricted_quadratic_local,0.15,0.2,0.08,0.04,50,2000,0.5335,0.413,0.0535,0.011155217389186104,-0.018026915112762894,0.08794739417339506
restricted_entropy_global,0.15,0.2,0.08,0.04,50,2000,0.3105,0.647,0.0425,0.010346249320405922,0.01887344356190998,0.04890693858436077
restricted_entropy_local,0.15,0.2,0.08,0.04,50,2000,0.514,0.4325,0.0535,0.011175956334918278,-0.015794342800981433,0.09066630227735636
gini,,0.2,0.08,0.04,100,2000,0.254,0.7385,0.0075,0.009733550225893941,0.01848968958024768,0.031429295180455445
entropy,,0.2,0.08,0.04,100,2000,0.254,0.7385,0.0075,0.009733550225893941,0.02204206005452995,0.03727145528979494
restricted_quadratic_global,0.15,0.2,0.08,0.04,100,2000,0.252,0.7385,0.0095,0.009708140913686821,0.01662413467513622,0.029488938928025805
restricted_quadratic_local,0.15,0.2,0.08,0.04,100,2000,0.601,0.388,0.011,0.01094986301284176,-0.027710892746175657,0.07479453942585004
restricted_entropy_global,0.15,0.2,0.08,0.04,100,2000,0.253,0.7365,0.0105,0.009720879589831364,0.020856369147509667,0.03566993439136808
restricted_entropy_local,0.15,0.2,0.08,0.04,100,2000,0.586,0.403,0.011,0.01101371871803525,-0.02483594273815346,0.07745284522871426
gini,,0.2,0.08,0.04,200,2000,0.162,0.836,0.002,0.008238810593768981,0.01845456875756915,0.02095594766574075
entropy,,0.2,0.08,0.04,200,2000,0.163,0.835,0.002,0.008259267522002178,0.02148147674502238,0.024361393243253687
restricted_quadratic_global,0.15,0.2,0.08,0.04,200,2000,0.1645,0.8335,0.002,0.008289745170992895,0.017365824441515094,0.01992810766414356
restricted_quadratic_local,0.15,0.2,0.08,0.04,200,2000,0.688,0.31,0.002,0.010359922779634993,-0.03117275460861494,0.05693453950001055
restricted_entropy_global,0.15,0.2,0.08,0.04,200,2000,0.164,0.834,0.002,0.0082796135175502,0.02233559751565684,0.024900380931836434
restricted_entropy_local,0.15,0.2,0.08,0.04,200,2000,0.658,0.34,0.002,0.010607450211997226,-0.027365430725234813,0.058999154126526246
gini,,0.2,0.08,0.04,500,2000,0.06,0.9395,0.0005,0.0053103672189407005,0.018900017967777363,0.012970071133304388
entropy,,0.2,0.08,0.04,500,2000,0.0615,0.938,0.0005,0.005372045699731156,0.022084564750965277,0.015147415878721697
restricted_quadratic_global,0.15,0.2,0.08,0.04,500,2000,0.062,0.9375,0.0005,0.005392402062161166,0.018117885155909758,0.012487877929118808
restricted_quadratic_local,0.15,0.2,0.08,0.04,500,2000,0.807,0.1925,0.0005,0.008824709626950906,-0.04019421328188204,0.04304218629960473
restricted_entropy_global,0.15,0.2,0.08,0.04,500,2000,0.0615,0.938,0.0005,0.005372045699731156,0.023858737834870976,0.015992398042918635
restricted_entropy_local,0.15,0.2,0.08,0.04,500,2000,0.7705,0.229,0.0005,0.0094029184299344,-0.036070787176599284,0.04502484084434249
gini,,0.2,0.08,0.04,1000,2000,0.014,0.986,0.0,0.002627165773224065,0.019557805042112443,0.009336344346709805
entropy,,0.2,0.08,0.04,1000,2000,0.014,0.986,0.0,0.002627165773224065,0.022678163582337183,0.01076380904626725
restricted_quadratic_global,0.15,0.2,0.08,0.04,1000,2000,0.0145,0.9855,0.0,0.0026729898989708138,0.019130095820812362,0.009145814469319856
restricted_quadratic_local,0.15,0.2,0.08,0.04,1000,2000,0.9105,0.0895,0.0,0.006383171233799076,-0.04326425061849152,0.03246199030411434
restricted_entropy_global,0.15,0.2,0.08,0.04,1000,2000,0.0145,0.9855,0.0,0.0026729898989708138,0.02528571145573864,0.01173269774041663
restricted_entropy_local,0.15,0.2,0.08,0.04,1000,2000,0.8695,0.1305,0.0,0.00753225563825339,-0.038826916222106336,0.03434869923232321
gini,,0.2,0.08,0.04,2000,2000,0.0,1.0,0.0,0.0,0.01918013298042286,0.006396300517710481
entropy,,0.2,0.08,0.04,2000,2000,0.0,1.0,0.0,0.0,0.02226974363217499,0.007367597010279071
restricted_quadratic_global,0.15,0.2,0.08,0.04,2000,2000,0.0,1.0,0.0,0.0,0.01888432575151441,0.0063243684449763825
restricted_quadratic_local,0.15,0.2,0.08,0.04,2000,2000,0.976,0.024,0.0,0.0034222799417931915,-0.047252752175759166,0.023888835333403736
restricted_entropy_global,0.15,0.2,0.08,0.04,2000,2000,0.0,1.0,0.0,0.0,0.025117644840354593,0.008160410295975487
restricted_entropy_local,0.15,0.2,0.08,0.04,2000,2000,0.952,0.048,0.0,0.004779958158812692,-0.04312127977572139,0.025590076771622762
gini,,0.225,0.08,0.04,25,2000,0.3815,0.5705,0.048,0.010861808090737012,0.01688699838792099,0.0755861685357155
entropy,,0.225,0.08,0.04,25,2000,0.3795,0.573,0.0475,0.010850800661702343,0.02024036888128454,0.08974946772570908
restricted_quadratic_global,0.15,0.225,0.08,0.04,25,2000,0.376,0.567,0.057,0.010831066429488834,0.01543361505345039,0.07248852900496319
restricted_quadratic_local,0.15,0.225,0.08,0.04,25,2000,0.469,0.459,0.072,0.011158830583891844,-0.0011604291864492917,0.11600066526617564
restricted_entropy_global,0.15,0.225,0.08,0.04,25,2000,0.3695,0.562,0.0685,0.010792815897623754,0.017172614886785408,0.07844652141859108
restricted_entropy_local,0.15,0.225,0.08,0.04,25,2000,0.469,0.459,0.072,0.011158830583891844,0.0002196129060954518,0.11864170550931742
gini,,0.225,0.08,0.04,50,2000,0.3165,0.665,0.0185,0.010400186296408348,0.018323475124887457,0.04739799508301985
entropy,,0.225,0.08,0.04,50,2000,0.3175,0.664,0.0185,0.010408980497627998,0.020293275491901453,0.05403153955376563
restricted_quadratic_global,0.15,0.225,0.08,0.04,50,2000,0.3135,0.6605,0.026,0.010373469766669204,0.017433923050488423,0.045878047600650874
restricted_quadratic_local,0.15,0.225,0.08,0.04,50,2000,0.4975,0.473,0.0295,0.011180200132376878,-0.0053512857633786865,0.08682829324325354
restricted_entropy_global,0.15,0.225,0.08,0.04,50,2000,0.3135,0.6595,0.027,0.010373469766669204,0.020310397987326034,0.05209216501738305
restricted_entropy_local,0.15,0.225,0.08,0.04,50,2000,0.4855,0.485,0.0295,0.011175637565705143,-0.0024975494351790212,0.09016406100122874
gini,,0.225,0.08,0.04,100,2000,0.269,0.726,0.005,0.009915618992276781,0.018900249044417436,0.03284509300573452
entropy,,0.225,0.08,0.04,100,2000,0.2695,0.7255,0.005,0.009921435128044732,0.020461007663454885,0.03568237769667582
restricted_quadratic_global,0.15,0.225,0.08,0.04,100,2000,0.269,0.725,0.006,0.009915618992276781,0.0186700184728862,0.03263170834229086
restricted_quadratic_local,0.15,0.225,0.08,0.04,100,2000,0.487,0.5065,0.0065,0.011176560293757645,-0.004752822836068555,0.06620866657695425
restricted_entropy_global,0.15,0.225,0.08,0.04,100,2000,0.271,0.7235,0.0055,0.009938787652425219,0.022395096179758593,0.03834120725047904
restricted_entropy_local,0.15,0.225,0.08,0.04,100,2000,0.467,0.5265,0.0065,0.011155962531310331,-0.0003121204655611681,0.06924840240706027
gini,,0.225,0.08,0.04,200,2000,0.1825,0.8165,0.001,0.008636948245763661,0.018351635128323544,0.02200885554896927
entropy,,0.225,0.08,0.04,200,2000,0.1835,0.8155,0.001,0.00865528018032923,0.01964444131699105,0.023615810033898985
restricted_quadratic_global,0.15,0.225,0.08,0.04,200,2000,0.1825,0.816,0.0015,0.008636948245763661,0.01881841653400902,0.02243148440645912
restricted_quadratic_local,0.15,0.225,0.08,0.04,200,2000,0.4675,0.531,0.0015,0.011156696419639641,-0.00192865500826907,0.047643985835066474
restricted_entropy_global,0.15,0.225,0.08,0.04,200,2000,0.1825,0.8165,0.001,0.008636948245763661,0.023084318058060004,0.027015630867258583
restricted_entropy_local,0.15,0.225,0.08,0.04,200,2000,0.4335,0.565,0.0015,0.011081014168387296,0.0039008683888475362,0.050718058721829565
gini,,0.225,0.08,0.04,500,2000,0.0655,0.9345,0.0,0.005532167296819575,0.019436448136795827,0.013580676097904861
entropy,,0.225,0.08,0.04,500,2000,0.0655,0.9345,0.0,0.005532167296819575,0.020586729688813647,0.014297446349110307
restricted_quadratic_global,0.15,0.225,0.08,0.04,500,2000,0.065,0.935,0.0,0.005512485827646181,0.02065244415834006,0.014321783224559414
restricted_quadratic_local,0.15,0.225,0.08,0.04,500,2000,0.356,0.644,0.0,0.010706633457814833,0.0077196820083456925,0.03462049891241511
restricted_entropy_global,0.15,0.225,0.08,0.04,500,2000,0.0655,0.9345,0.0,0.005532167296819575,0.02561002946545201,0.01741428374535858
restricted_entropy_local,0.15,0.225,0.08,0.04,500,2000,0.3025,0.6975,0.0,0.010271167168340705,0.015863280883160823,0.037721049686428997
gini,,0.225,0.08,0.04,1000,2000,0.0125,0.9875,0.0,0.002484325864293974,0.01906115400512944,0.00942219155746409
entropy,,0.225,0.08,0.04,1000,2000,0.0125,0.9875,0.0,0.002484325864293974,0.02021422874139382,0.009998025933044241
restricted_quadratic_global,0.15,0.225,0.08,0.04,1000,2000,0.0125,0.9875,0.0,0.002484325864293974,0.02050539104785838,0.00996245333567523
restricted_quadratic_local,0.15,0.225,0.08,0.04,1000,2000,0.261,0.739,0.0,0.00982036150047441,0.012119011946022539,0.026204764420282335
restricted_entropy_global,0.15,0.225,0.08,0.04,1000,2000,0.0125,0.9875,0.0,0.002484325864293974,0.0256219977758328,0.012276458560164884
restricted_entropy_local,0.15,0.225,0.08,0.04,1000,2000,0.1995,0.8005,0.0,0.008935875726530668,0.021131365075967898,0.028401447640324984
gini,,0.225,0.08,0.04,2000,2000,0.002,0.998,0.0,0.0009989994994993741,0.01909433038887551,0.006515853263498107
entropy,,0.225,0.08,0.04,2000,2000,0.002,0.998,0.0,0.0009989994994993741,0.020224705157890245,0.006905838508937909
restricted_quadratic_global,0.15,0.225,0.08,0.04,2000,2000,0.002,0.998,0.0,0.0009989994994993741,0.020715819094932256,0.00693993992444882
restricted_quadratic_local,0.15,0.225,0.08,0.04,2000,2000,0.1885,0.8115,0.0,0.008745505988792188,0.01717373546201687,0.019599234563812504
restricted_entropy_global,0.15,0.225,0.08,0.04,2000,2000,0.002,0.998,0.0,0.0009989994994993741,0.025952027800291055,0.00858737325337857
restricted_entropy_local,0.15,0.225,0.08,0.04,2000,2000,0.1115,0.8885,0.0,0.007038030619427568,0.02701397923498085,0.021115761486987163
gini,,0.25,0.08,0.04,25,2000,0.399,0.545,0.056,0.01094986301284176,0.018881750378276694,0.08353912896764285
entropy,,0.25,0.08,0.04,25,2000,0.4015,0.5435,0.055,0.010961244226820238,0.020786076779944783,0.09215348417753537
restricted_quadratic_global,0.15,0.25,0.08,0.04,25,2000,0.3955,0.5405,0.064,0.010933429242465514,0.01808718595126584,0.08252264441139678
restricted_quadratic_local,0.15,0.25,0.08,0.04,25,2000,0.4625,0.461,0.0765,0.011148850837642416,0.003419059623779398,0.12217801392276298
restricted_entropy_global,0.15,0.25,0.08,0.04,25,2000,0.3925,0.536,0.0715,0.010918877002695835,0.019774643709667722,0.08711719933183254
restricted_entropy_local,0.15,0.25,0.08,0.04,25,2000,0.4545,0.469,0.0765,0.011133951454896865,0.004933813210268699,0.12478694143797
gini,,0.25,0.08,0.04,50,2000,0.354,0.628,0.018,0.010693081875680181,0.017921654217748263,0.051926916356098536
entropy,,0.25,0.08,0.04,50,2000,0.355,0.627,0.018,0.010699883176932354,0.018425308919655027,0.05386086728603064
restricted_quadratic_global,0.15,0.25,0.08,0.04,50,2000,0.347,0.63,0.023,0.01064403588870312,0.01800799507852914,0.05270936653063132
restricted_quadratic_local,0.15,0.25,0.08,0.04,50,2000,0.451,0.5245,0.0245,0.011126522367748155,0.007880562288696944,0.08501593297250039
restricted_entropy_global,0.15,0.25,0.08,0.04,50,2000,0.3485,0.6285,0.023,0.010654758326682027,0.020158328441475075,0.057855732282402914
restricted_entropy_local,0.15,0.25,0.08,0.04,50,2000,0.444,0.5315,0.0245,0.011109995499549044,0.01085956757811476,0.08914432332859971
gini,,0.25,0.08,0.04,100,2000,0.2565,0.7365,0.007,0.009764930875331377,0.018879901029317074,0.033543083925435806
entropy,,0.25,0.08,0.04,100,2000,0.2575,0.7355,0.007,0.009777365442694672,0.018816545956791657,0.033711239560110934
restricted_quadratic_global,0.15,0.25,0.08,0.04,100,2000,0.257,0.735,0.008,0.009771156533389485,0.019701077509771774,0.034883514877325696
restricted_quadratic_local,0.15,0.25,0.08,0.04,100,2000,0.378,0.614,0.008,0.01084241670477574,0.013063429661004662,0.0606491141844489
restricted_entropy_global,0.15,0.25,0.08,0.04,100,2000,0.2585,0.7345,0.007,0.00978973314243039,0.022468402350988213,0.039157354394266125
restricted_entropy_local,0.15,0.25,0.08,0.04,100,2000,0.37,0.622,0.008,0.010795832529267949,0.01768038703499966,0.06509355508916242
gini,,0.25,0.08,0.04,200,2000,0.183,0.816,0.001,0.008646126300257243,0.018744566449264678,0.022884817347274006
entropy,,0.25,0.08,0.04,200,2000,0.1825,0.8165,0.001,0.008636948245763661,0.01852388403697407,0.02266956451953843
restricted_quadratic_global,0.15,0.25,0.08,0.04,200,2000,0.1825,0.8165,0.001,0.008636948245763661,0.02012639637512814,0.02436980110507238
restricted_quadratic_local,0.15,0.25,0.08,0.04,200,2000,0.2755,0.7235,0.001,0.009989988738732391,0.021181878982380765,0.04309422592480458
restricted_entropy_global,0.15,0.25,0.08,0.04,200,2000,0.1815,0.8175,0.001,0.008618519304381698,0.023315258280833112,0.027883121913165033
restricted_entropy_local,0.15,0.25,0.08,0.04,200,2000,0.2565,0.7425,0.001,0.009764930875331377,0.02756801605671178,0.047919869685422736
gini,,0.25,0.08,0.04,500,2000,0.0725,0.9275,0.0,0.005798437289477226,0.019391094994848892,0.014000508527043773
entropy,,0.25,0.08,0.04,500,2000,0.0725,0.9275,0.0,0.005798437289477226,0.019019679318756037,0.013651216473978002
restricted_quadratic_global,0.15,0.25,0.08,0.04,500,2000,0.0725,0.9275,0.0,0.005798437289477226,0.021209450139679255,0.015262260495367302
restricted_quadratic_local,0.15,0.25,0.08,0.04,500,2000,0.108,0.892,0.0,0.0069403169956422026,0.03277697883083285,0.027345019476577796
restricted_entropy_global,0.15,0.25,0.08,0.04,500,2000,0.0725,0.9275,0.0,0.005798437289477226,0.02466882091098,0.017578875915130625
restricted_entropy_local,0.15,0.25,0.08,0.04,500,2000,0.0965,0.9035,0.0,0.006602565789145913,0.040981158762470896,0.03178664764187585
gini,,0.25,0.08,0.04,1000,2000,0.025,0.975,0.0,0.0034910600109422352,0.01891061254244556,0.009863209433748823
entropy,,0.25,0.08,0.04,1000,2000,0.025,0.975,0.0,0.0034910600109422352,0.01853477952605678,0.009669419194915254
restricted_quadratic_global,0.15,0.25,0.08,0.04,1000,2000,0.025,0.975,0.0,0.0034910600109422352,0.0207501905103869,0.01079315187971941
restricted_quadratic_local,0.15,0.25,0.08,0.04,1000,2000,0.034,0.966,0.0,0.0040524066923249445,0.035821925233575656,0.019221406810967397
restricted_entropy_global,0.15,0.25,0.08,0.04,1000,2000,0.025,0.975,0.0,0.0034910600109422352,0.024158013042420094,0.012540132528558285
restricted_entropy_local,0.15,0.25,0.08,0.04,1000,2000,0.028,0.972,0.0,0.0036889022757454555,0.04435407730991002,0.02287635730220004
gini,,0.25,0.08,0.04,2000,2000,0.001,0.999,0.0,0.0007067531393633848,0.019174417543339508,0.006941775860891321
entropy,,0.25,0.08,0.04,2000,2000,0.001,0.999,0.0,0.0007067531393633848,0.018785117413823542,0.006795680396927389
restricted_quadratic_global,0.15,0.25,0.08,0.04,2000,2000,0.001,0.999,0.0,0.0007067531393633848,0.021066453809763467,0.007618373713723724
restricted_quadratic_local,0.15,0.25,0.08,0.04,2000,2000,0.0015,0.9985,0.0,0.0008653756409791069,0.0385592713609893,0.013810144754272198
restricted_entropy_global,0.15,0.25,0.08,0.04,2000,2000,0.001,0.999,0.0,0.0007067531393633848,0.024531005957943195,0.008857312463193155
restricted_entropy_local,0.15,0.25,0.08,0.04,2000,2000,0.001,0.999,0.0,0.0007067531393633848,0.047499211994343066,0.016816360170457595
gini,,0.275,0.08,0.04,25,2000,0.387,0.5655,0.0475,0.010891074327172687,0.019920429361144534,0.08285716055300911
entropy,,0.275,0.08,0.04,25,2000,0.3915,0.561,0.0475,0.010913930318634071,0.020542860614857644,0.08761248498923391
restricted_quadratic_global,0.15,0.275,0.08,0.04,25,2000,0.3855,0.5635,0.051,0.010883238258900703,0.019835948290285038,0.0834191512246465
restricted_quadratic_local,0.15,0.275,0.08,0.04,25,2000,0.4315,0.5115,0.057,0.01107492099294618,0.012672475396243632,0.12187075245094517
restricted_entropy_global,0.15,0.275,0.08,0.04,25,2000,0.388,0.5575,0.0545,0.010896237882865811,0.021187289762486634,0.0871657751745676
restricted_entropy_local,0.15,0.275,0.08,0.04,25,2000,0.43,0.513,0.057,0.011070230349906908,0.014446731998416975,0.12443634728469578
gini,,0.275,0.08,0.04,50,2000,0.3455,0.6325,0.022,0.010633196838204398,0.0187310028184196,0.05338297698077469
entropy,,0.275,0.08,0.04,50,2000,0.345,0.633,0.022,0.010629557845931316,0.017898440469483502,0.05192929916601768
restricted_quadratic_global,0.15,0.275,0.08,0.04,50,2000,0.343,0.6355,0.0215,0.010614871643124094,0.019475936164448086,0.055487419596911475
restricted_quadratic_local,0.15,0.275,0.08,0.04,50,2000,0.4025,0.575,0.0225,0.010965713611069731,0.017541024305403555,0.08891194692856995
restricted_entropy_global,0.15,0.275,0.08,0.04,50,2000,0.343,0.6355,0.0215,0.010614871643124094,0.020982674084508764,0.05908283670551146
restricted_entropy_local,0.15,0.275,0.08,0.04,50,2000,0.394,0.5835,0.0225,0.0109262070271435,0.020260460187796783,0.09251462334290159
gini,,0.275,0.08,0.04,100,2000,0.2625,0.7315,0.006,0.009838540288071193,0.020791883787632977,0.03600752770103298
entropy,,0.275,0.08,0.04,100,2000,0.262,0.7325,0.0055,0.009832497139587684,0.019346759708454946,0.03347030996804764
restricted_quadratic_global,0.15,0.275,0.08,0.04,100,2000,0.2625,0.732,0.0055,0.009838540288071193,0.022335759439983796,0.03868614929498611
restricted_quadratic_local,0.15,0.275,0.08,0.04,100,2000,0.3155,0.679,0.0055,0.010391336535787877,0.02814498181711273,0.06510431980832682
restricted_entropy_global,0.15,0.275,0.08,0.04,100,2000,0.262,0.7325,0.0055,0.009832497139587684,0.02427373957546169,0.04164862318507568
restricted_entropy_local,0.15,0.275,0.08,0.04,100,2000,0.306,0.6885,0.0055,0.010304465051617187,0.032658885716552545,0.07032339873055307
gini,,0.275,0.08,0.04,200,2000,0.171,0.827,0.002,0.008418996377241174,0.019260830541267048,0.02309251645509125
entropy,,0.275,0.08,0.04,200,2000,0.172,0.826,0.002,0.0084384832760396,0.017888594306983908,0.021442265282414285
restricted_quadratic_global,0.15,0.275,0.08,0.04,200,2000,0.171,0.827,0.002,0.008418996377241174,0.021011611857934674,0.025115166212338058
restricted_quadratic_local,0.15,0.275,0.08,0.04,200,2000,0.199,0.799,0.002,0.008927457644816915,0.032675136307592945,0.04297586967231269
restricted_entropy_global,0.15,0.275,0.08,0.04,200,2000,0.172,0.826,0.002,0.0084384832760396,0.023083685486523457,0.027442726671058414
restricted_entropy_local,0.15,0.275,0.08,0.04,200,2000,0.1915,0.8065,0.002,0.00879851549978745,0.03816904732438732,0.04801694807656236
gini,,0.275,0.08,0.04,500,2000,0.0875,0.9125,0.0,0.006318375978050055,0.01912309790929711,0.015147774012456186
entropy,,0.275,0.08,0.04,500,2000,0.0875,0.9125,0.0,0.006318375978050055,0.017632213300318524,0.013964079784963274
restricted_quadratic_global,0.15,0.275,0.08,0.04,500,2000,0.0875,0.9125,0.0,0.006318375978050055,0.020995777056512132,0.01660686807521982
restricted_quadratic_local,0.15,0.275,0.08,0.04,500,2000,0.0885,0.9115,0.0,0.0063508956061330436,0.037757585962093956,0.02965995332231788
restricted_entropy_global,0.15,0.275,0.08,0.04,500,2000,0.0875,0.9125,0.0,0.006318375978050055,0.022999407601465537,0.018159853228583288
restricted_entropy_local,0.15,0.275,0.08,0.04,500,2000,0.0885,0.9115,0.0,0.0063508956061330436,0.043741526027464825,0.033914523134833244
gini,,0.275,0.08,0.04,1000,2000,0.0215,0.9785,0.0,0.003243281517229116,0.019001979757466085,0.010319192329858774
entropy,,0.275,0.08,0.04,1000,2000,0.0215,0.9785,0.0,0.003243281517229116,0.017444091763210694,0.009451421018597002
restricted_quadratic_global,0.15,0.275,0.08,0.04,1000,2000,0.0215,0.9785,0.0,0.003243281517229116,0.020881177676614456,0.011339635525260728
restricted_quadratic_local,0.15,0.275,0.08,0.04,1000,2000,0.0215,0.9785,0.0,0.003243281517229116,0.03875018711371258,0.021032537250812205
restricted_entropy_global,0.15,0.275,0.08,0.04,1000,2000,0.0215,0.9785,0.0,0.003243281517229116,0.022786604039317978,0.012345873222537681
restricted_entropy_local,0.15,0.275,0.08,0.04,1000,2000,0.0215,0.9785,0.0,0.003243281517229116,0.04467702482519572,0.02418352455185712
gini,,0.275,0.08,0.04,2000,2000,0.0025,0.9975,0.0,0.001116635571706365,0.0194650631216122,0.0072044277704601005
entropy,,0.275,0.08,0.04,2000,2000,0.0025,0.9975,0.0,0.001116635571706365,0.017850099388377342,0.006595478169782702
restricted_quadratic_global,0.15,0.275,0.08,0.04,2000,2000,0.0025,0.9975,0.0,0.001116635571706365,0.021390179254518898,0.007916953593912202
restricted_quadratic_local,0.15,0.275,0.08,0.04,2000,2000,0.0025,0.9975,0.0,0.001116635571706365,0.03972461861553512,0.014702913817265514
restricted_entropy_global,0.15,0.275,0.08,0.04,2000,2000,0.0025,0.9975,0.0,0.001116635571706365,0.023317164208655983,0.008615517716364327
restricted_entropy_local,0.15,0.275,0.08,0.04,2000,2000,0.0025,0.9975,0.0,0.001116635571706365,0.04575075181818166,0.016904560490259193
gini,,0.3,0.08,0.04,25,2000,0.385,0.5715,0.0435,0.010880602005403929,0.0184548042920272,0.08790038267016381
entropy,,0.3,0.08,0.04,25,2000,0.3865,0.5705,0.043,0.010888474411045838,0.01790547398228345,0.08853404700771866
restricted_quadratic_global,0.15,0.3,0.08,0.04,25,2000,0.384,0.569,0.047,0.010875293099498515,0.018880525686223646,0.08998195289652043
restricted_quadratic_local,0.15,0.3,0.08,0.04,25,2000,0.4255,0.5255,0.049,0.011055535943589528,0.017686690560129618,0.13588110330448164
restricted_entropy_global,0.15,0.3,0.08,0.04,25,2000,0.3825,0.57,0.0475,0.010867238609692896,0.019652271338031838,0.09214084826674988
restricted_entropy_local,0.15,0.3,0.08,0.04,25,2000,0.4205,0.5305,0.049,0.011038110119037587,0.019054743758868925,0.13736448370992857
gini,,0.3,0.08,0.04,50,2000,0.3675,0.6155,0.017,0.010780624981883008,0.016139078534222397,0.05346892623963158
entropy,,0.3,0.08,0.04,50,2000,0.3675,0.616,0.0165,0.010780624981883008,0.014827875315271941,0.04929837062188088
restricted_quadratic_global,0.15,0.3,0.08,0.04,50,2000,0.366,0.617,0.017,0.010771350890208711,0.017090430026332926,0.05675843532567956
restricted_quadratic_local,0.15,0.3,0.08,0.04,50,2000,0.3935,0.5895,0.017,0.010923775675104282,0.020496512906046854,0.09030448197347035
restricted_entropy_global,0.15,0.3,0.08,0.04,50,2000,0.3665,0.617,0.0165,0.010774454742584424,0.01790446881923758,0.059071002341679175
restricted_entropy_local,0.15,0.3,0.08,0.04,50,2000,0.389,0.5945,0.0165,0.010901353127020516,0.022510842822766813,0.09383134061235922
gini,,0.3,0.08,0.04,100,2000,0.283,0.709,0.008,0.010072512099769353,0.016937520549287502,0.03650867689861072
entropy,,0.3,0.08,0.04,100,2000,0.2815,0.711,0.0075,0.010056285347980138,0.014866657506482518,0.032165514253112176
restricted_quadratic_global,0.15,0.3,0.08,0.04,100,2000,0.283,0.7095,0.0075,0.010072512099769353,0.01850214345496965,0.03970554552518349
restricted_quadratic_local,0.15,0.3,0.08,0.04,100,2000,0.296,0.6965,0.0075,0.01020744826095141,0.0303682664163722,0.06735104992444194
restricted_entropy_global,0.15,0.3,0.08,0.04,100,2000,0.282,0.7105,0.0075,0.010061709596286309,0.019211423065919626,0.04109936635455996
restricted_entropy_local,0.15,0.3,0.08,0.04,100,2000,0.2895,0.703,0.0075,0.010141246225193431,0.03321304052607653,0.07192314463899488
gini,,0.3,0.08,0.04,200,2000,0.192,0.807,0.001,0.008807269724494646,0.01956783347754296,0.023913113224373027
entropy,,0.3,0.08,0.04,200,2000,0.1915,0.8075,0.001,0.00879851549978745,0.01722180211879309,0.021016637615736137
restricted_quadratic_global,0.15,0.3,0.08,0.04,200,2000,0.192,0.807,0.001,0.008807269724494646,0.021475976665451788,0.026228691294721582
restricted_quadratic_local,0.15,0.3,0.08,0.04,200,2000,0.195,0.804,0.001,0.008859317129440622,0.0383825280929819,0.04701315451193157
restricted_entropy_global,0.15,0.3,0.08,0.04,200,2000,0.1915,0.8075,0.001,0.00879851549978745,0.0224478791054057,0.027349067139621746
restricted_entropy_local,0.15,0.3,0.08,0.04,200,2000,0.1935,0.8055,0.001,0.008833395440033238,0.042359832839361476,0.051309642816004156
gini,,0.3,0.08,0.04,500,2000,0.083,0.917,0.0,0.006168914004912048,0.019285310044295748,0.014771329280572851
entropy,,0.3,0.08,0.04,500,2000,0.083,0.917,0.0,0.006168914004912048,0.016821191921720702,0.012905203753052263
restricted_quadratic_global,0.15,0.3,0.08,0.04,500,2000,0.083,0.917,0.0,0.006168914004912048,0.02119143359839392,0.016228222500067876
restricted_quadratic_local,0.15,0.3,0.08,0.04,500,2000,0.083,0.917,0.0,0.006168914004912048,0.039286090968445854,0.030023620527819154
restricted_entropy_global,0.15,0.3,0.08,0.04,500,2000,0.083,0.917,0.0,0.006168914004912048,0.021970957458397646,0.016849333086189147
restricted_entropy_local,0.15,0.3,0.08,0.04,500,2000,0.083,0.917,0.0,0.006168914004912048,0.0430314206441162,0.032897176951542435
gini,,0.3,0.08,0.04,1000,2000,0.0235,0.9765,0.0,0.0033873108803297047,0.01918218601848658,0.010154587224484896
entropy,,0.3,0.08,0.04,1000,2000,0.023,0.977,0.0,0.003351939736928455,0.016694305302457108,0.008824768898359824
restricted_quadratic_global,0.15,0.3,0.08,0.04,1000,2000,0.0235,0.9765,0.0,0.0033873108803297047,0.02107932529504019,0.011158887059873515
