impurity,epsilon,p,delta_a,delta_b,v_a,v_b,v_diff,curvature,exact_margin,predicted_margin,absolute_error,relative_error
restricted_quadratic_local,0.15,0.45,0.08,0.04,0.0064,0.0016,0.0048000000000000004,16.326530612244902,0.03918367346938778,0.03918367346938777,1.3877787807814457e-17,3.541727096785979e-16
restricted_quadratic_local,0.15,0.5,0.02,0.01,0.0004,0.0001,0.00030000000000000003,16.326530612244902,0.002448979591836764,0.0024489795918367354,2.862293735361732e-17,1.1687699419393597e-14
restricted_quadratic_local,0.15,0.5,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,16.326530612244902,0.015306122448979553,0.015306122448979598,4.5102810375396984e-17,2.9467169445259435e-15
restricted_quadratic_local,0.15,0.5,0.08,0.04,0.0064,0.0016,0.0048000000000000004,16.326530612244902,0.03918367346938778,0.03918367346938777,1.3877787807814457e-17,3.541727096785979e-16
restricted_quadratic_local,0.15,0.55,0.02,0.01,0.0004,0.0001,0.00030000000000000003,16.326530612244902,0.002448979591836764,0.0024489795918367354,2.862293735361732e-17,1.1687699419393597e-14
restricted_quadratic_local,0.15,0.55,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,16.326530612244902,0.015306122448979553,0.015306122448979598,4.5102810375396984e-17,2.9467169445259435e-15
restricted_quadratic_local,0.15,0.55,0.08,0.04,0.0064,0.0016,0.0048000000000000004,16.326530612244902,0.03918367346938767,0.03918367346938777,9.71445146547012e-17,2.479208967750192e-15
restricted_quadratic_local,0.15,0.6000000000000001,0.02,0.01,0.0004,0.0001,0.00030000000000000003,16.326530612244902,0.002448979591836764,0.0024489795918367354,2.862293735361732e-17,1.1687699419393597e-14
restricted_quadratic_local,0.15,0.6000000000000001,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,16.326530612244902,0.015306122448979553,0.015306122448979598,4.5102810375396984e-17,2.9467169445259435e-15
restricted_quadratic_local,0.15,0.6000000000000001,0.08,0.04,0.0064,0.0016,0.0048000000000000004,16.326530612244902,0.03918367346938767,0.03918367346938777,9.71445146547012e-17,2.479208967750192e-15
restricted_quadratic_local,0.15,0.65,0.02,0.01,0.0004,0.0001,0.00030000000000000003,16.326530612244902,0.002448979591836764,0.0024489795918367354,2.862293735361732e-17,1.1687699419393597e-14
restricted_quadratic_local,0.15,0.65,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,16.326530612244902,0.015306122448979664,0.015306122448979598,6.591949208711867e-17,4.306740149691732e-15
restricted_quadratic_local,0.15,0.65,0.08,0.04,0.0064,0.0016,0.0048000000000000004,16.326530612244902,0.03918367346938767,0.03918367346938777,9.71445146547012e-17,2.479208967750192e-15
restricted_quadratic_local,0.15,0.7,0.02,0.01,0.0004,0.0001,0.00030000000000000003,16.326530612244902,0.002448979591836764,0.0024489795918367354,2.862293735361732e-17,1.1687699419393597e-14
restricted_quadratic_local,0.15,0.7,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,16.326530612244902,0.015306122448979664,0.015306122448979598,6.591949208711867e-17,4.306740149691732e-15
restricted_quadratic_local,0.15,0.7,0.08,0.04,0.0064,0.0016,0.0048000000000000004,16.326530612244902,0.03918367346938767,0.03918367346938777,9.71445146547012e-17,2.479208967750192e-15
restricted_quadratic_local,0.15,0.75,0.02,0.01,0.0004,0.0001,0.00030000000000000003,16.326530612244902,0.0024489795918367085,0.0024489795918367354,2.688821387764051e-17,1.0979354000036659e-14
restricted_quadratic_local,0.15,0.75,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,16.326530612244902,0.015306122448979609,0.015306122448979598,1.0408340855860843e-17,6.800116025829076e-16
restricted_quadratic_local,0.15,0.75,0.08,0.04,0.0064,0.0016,0.0048000000000000004,16.326530612244902,0.03918367346938767,0.03918367346938777,9.71445146547012e-17,2.479208967750192e-15
restricted_entropy_global,0.15,0.25,0.02,0.01,0.0004,0.0001,0.00030000000000000003,10.050978858847941,0.001509214397782066,0.0015076468288271912,1.5675689548748113e-06,0.0010386655184170671
restricted_entropy_global,0.15,0.25,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,10.050978858847941,0.009484881815337687,0.009422792680169946,6.208913516774113e-05,0.0065461158479949485
restricted_entropy_global,0.15,0.25,0.08,0.04,0.0064,0.0016,0.0048000000000000004,10.050978858847941,0.024540254328910827,0.02412234926123506,0.00041790506767576743,0.017029369870198707
restricted_entropy_global,0.15,0.3,0.02,0.01,0.0004,0.0001,0.00030000000000000003,8.97408826682852,0.0013470560561980038,0.0013461132400242781,9.428161737256961e-07,0.0006999086410603773
restricted_entropy_global,0.15,0.3,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,8.97408826682852,0.00845038128747666,0.00841320775015174,3.717353732492039e-05,0.004399036689623818
restricted_entropy_global,0.15,0.3,0.08,0.04,0.0064,0.0016,0.0048000000000000004,8.97408826682852,0.021785785972389227,0.02153781184038845,0.0002479741320007764,0.011382381719670466
restricted_entropy_global,0.15,0.35,0.02,0.01,0.0004,0.0001,0.00030000000000000003,8.283773784764788,0.0012432020693846635,0.0012425660677147185,6.360016699450376e-07,0.0005115835032834474
restricted_entropy_global,0.15,0.35,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,8.283773784764788,0.007791045297057098,0.007766037923216991,2.5007373840106942e-05,0.003209758496661924
restricted_entropy_global,0.15,0.35,0.08,0.04,0.0064,0.0016,0.0048000000000000004,8.283773784764788,0.020046989141688898,0.019881057083435495,0.00016593205825340268,0.008277156089656235
restricted_entropy_global,0.15,0.4,0.02,0.01,0.0004,0.0001,0.00030000000000000003,7.852327233474955,0.0011783266608924592,0.0011778490850212434,4.775758712157602e-07,0.0004053000641214775
restricted_entropy_global,0.15,0.4,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,7.852327233474955,0.0073803026175730535,0.007361556781382772,1.8745836190281646e-05,0.002539982052449503
