impurity,epsilon,p,delta_a,delta_b,v_a,v_b,v_diff,curvature,exact_margin,predicted_margin,absolute_error,relative_error
gini,,0.7,0.08,0.04,0.0064,0.0016,0.0048000000000000004,8.0,0.019199999999999995,0.019200000000000002,6.938893903907228e-18,3.6140072416183493e-16
gini,,0.75,0.02,0.01,0.0004,0.0001,0.00030000000000000003,8.0,0.0012000000000000899,0.0012000000000000001,8.977193988179977e-17,7.48099499014942e-14
gini,,0.75,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,8.0,0.007499999999999951,0.0075000000000000015,5.0306980803327406e-17,6.707597440443698e-15
gini,,0.75,0.08,0.04,0.0064,0.0016,0.0048000000000000004,8.0,0.019199999999999995,0.019200000000000002,6.938893903907228e-18,3.6140072416183493e-16
entropy,,0.25,0.02,0.01,0.0004,0.0001,0.00030000000000000003,7.694373551407804,0.0011553560612134195,0.0011541560327111707,1.2000285022487674e-06,0.0010386655183930314
entropy,,0.25,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,7.694373551407804,0.007261006594787345,0.007213475204444818,4.753139034252649e-05,0.006546115847994014
entropy,,0.25,0.08,0.04,0.0064,0.0016,0.0048000000000000004,7.694373551407804,0.018786417373365616,0.01846649652337873,0.0003199208499868843,0.017029369870194145
entropy,,0.3,0.02,0.01,0.0004,0.0001,0.00030000000000000003,6.86997638518554,0.0010312182163182415,0.0010304964577778312,7.217585404103565e-07,0.0006999086410510193
entropy,,0.3,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,6.86997638518554,0.006469060495578938,0.0064406028611114444,2.8457634467493262e-05,0.0043990366896308475
entropy,,0.3,0.08,0.04,0.0064,0.0016,0.0048000000000000004,6.86997638518554,0.01667777613869137,0.0164879433244453,0.00018983281424607076,0.011382381719686885
entropy,,0.35,0.02,0.01,0.0004,0.0001,0.00030000000000000003,6.341516663248191,0.000951714380864277,0.0009512274994872287,4.86881377048231e-07,0.0005115835032418876
entropy,,0.35,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,6.341516663248191,0.00596431588538493,0.00594517187179518,1.914401358974957e-05,0.003209758496638385
entropy,,0.35,0.08,0.04,0.0064,0.0016,0.0048000000000000004,6.341516663248191,0.015346666747924287,0.01521963999179566,0.0001270267561286273,0.008277156089664115
entropy,,0.4,0.02,0.01,0.0004,0.0001,0.00030000000000000003,6.0112293370373475,0.0009020500014791377,0.0009016844005556022,3.656009235355421e-07,0.000405300064227091
entropy,,0.4,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,6.0112293370373475,0.005649878092425786,0.005635527503472514,1.4350588953272216e-05,0.002539982052446509
entropy,,0.4,0.08,0.04,0.0064,0.0016,0.0048000000000000004,6.0112293370373475,0.014521858378925945,0.014426950408889635,9.490797003630994e-05,0.006535525107037261
entropy,,0.45,0.02,0.01,0.0004,0.0001,0.00030000000000000003,5.829070872278639,0.0008746671478109258,0.0008743606308417959,3.065169691298785e-07,0.00035043841522688283
entropy,,0.45,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,5.829070872278639,0.005476773605663565,0.005464753942761225,1.2019662902340057e-05,0.0021946612673400356
entropy,,0.45,0.08,0.04,0.0064,0.0016,0.0048000000000000004,5.829070872278639,0.01406911462791427,0.013989770093468735,7.934453444553499e-05,0.005639625274507962
entropy,,0.5,0.02,0.01,0.0004,0.0001,0.00030000000000000003,5.7707801635558535,0.0008659057576082541,0.0008656170245333781,2.887330748759572e-07,0.00033344630444943115
entropy,,0.5,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,5.7707801635558535,0.005421425055001761,0.0054101064033336135,1.131865166814714e-05,0.002087763190179056
entropy,,0.5,0.08,0.04,0.0064,0.0016,0.0048000000000000004,5.7707801635558535,0.013924543786572152,0.01384987239253405,7.46713940381026e-05,0.0053625738252272535
entropy,,0.55,0.02,0.01,0.0004,0.0001,0.00030000000000000003,5.82907087227864,0.0008746671478109258,0.0008743606308417961,3.0651696912966167e-07,0.00035043841522663493
entropy,,0.55,0.05,0.025,0.0025000000000000005,0.0006250000000000001,0.0018750000000000004,5.82907087227864,0.005476773605663676,0.005464753942761226,1.2019662902450212e-05,0.002194661267360104
entropy,,0.55,0.08,0.04,0.0064,0.0016,0.0048000000000000004,5.82907087227864,0.014069114627914159,0.013989770093468738,7.93445344454205e-05,0.005639625274499869
