n,f=0.1,f=0.1_ES,f=0.25,f=0.25_ES,f=0.5,f=0.5_ES,f=0.75,f=0.75_ES,f=1.0,f=1.0_ES
13800,87.0,84.5,78.5,77.5,60.0,64.5,60.5,64.5,60.5,60.0
14000,85.5,75.0,81.0,66.0,59.0,59.0,59.0,59.0,59.0,59.0
14200,72.5,70.5,74.0,69.0,61.0,67.5,61.5,67.5,61.5,61.0
14400,67.5,61.5,72.0,67.5,59.0,64.0,56.5,59.0,56.5,59.0
14600,68.0,68.5,66.5,59.0,60.0,57.5,60.0,57.5,60.0,60.0
14800,79.5,75.0,76.5,73.5,57.0,61.0,62.5,54.5,62.5,57.0
15000,82.5,80.0,83.0,85.0,70.0,74.5,70.0,70.0,70.0,70.0
15200,61.0,67.0,60.0,61.5,58.5,65.0,53.5,65.0,53.5,58.5
15400,64.5,71.0,70.5,76.0,84.0,81.0,81.0,84.0,81.0,84.0
15600,69.5,69.0,67.5,60.0,50.0,50.5,52.5,50.5,52.5,50.0
15800,64.0,59.0,56.5,54.0,56.0,46.0,65.5,50.5,65.5,56.0
16000,65.5,72.0,60.5,65.5,56.5,59.5,56.5,56.5,56.5,56.5
16200,61.0,63.5,65.0,63.0,74.5,74.5,73.5,76.0,73.5,74.5
16400,65.5,63.5,70.0,58.5,60.5,56.0,58.5,60.5,58.5,60.5
16600,71.0,76.0,72.5,67.0,59.0,61.5,57.5,61.5,57.5,59.0
16800,78.5,68.0,71.5,70.0,78.5,72.5,81.5,81.0,81.5,78.5
17000,79.0,79.0,75.5,79.0,73.5,72.0,73.5,73.5,73.5,73.5
17200,72.5,77.0,81.0,72.0,71.5,74.5,76.5,73.0,76.5,71.5
17400,69.0,62.5,72.0,77.5,82.0,72.5,82.0,82.0,82.0,82.0
17600,71.5,69.0,66.0,66.5,66.5,58.5,62.0,58.5,62.0,62.0
17800,71.5,63.0,67.5,69.5,63.0,66.5,64.5,63.0,61.5,64.5
18000,69.0,66.5,77.0,73.5,71.0,68.0,65.5,67.5,65.5,65.5
18200,68.0,62.0,65.0,61.5,62.0,47.5,55.5,48.0,51.5,55.5
18400,72.5,68.0,71.5,72.0,68.5,69.0,68.5,68.5,67.5,68.5
18600,77.5,74.5,74.0,74.0,59.5,55.5,54.0,55.5,55.0,55.0
18800,77.5,72.0,83.5,80.0,62.5,64.5,62.5,62.5,58.0,62.5
19000,79.0,79.0,83.0,83.0,73.0,72.0,72.0,71.0,72.0,72.0
19200,72.5,75.0,68.5,72.5,82.5,73.0,82.5,71.0,67.5,78.0
19400,77.5,79.0,79.5,79.0,66.0,67.0,66.0,66.0,64.5,66.0
19600,80.0,79.5,79.5,82.5,69.0,57.0,69.0,66.5,59.0,59.0
19800,72.5,75.5,76.5,78.5,62.5,65.5,62.5,62.5,68.5,62.5
20000,71.0,79.0,72.5,66.5,62.5,56.5,62.0,60.0,60.5,60.5
20200,77.5,78.0,78.5,74.0,82.5,71.0,82.5,83.5,64.0,71.0
20400,60.0,57.0,59.0,60.0,57.5,50.5,58.0,58.0,64.0,54.0
20600,52.0,62.5,56.5,61.5,67.0,52.0,67.0,67.0,52.5,52.5
20800,69.5,62.5,60.0,57.5,46.0,47.5,46.0,46.0,57.0,46.0
21000,61.0,63.5,62.0,66.0,66.5,69.0,66.5,66.5,69.5,69.5
21200,63.0,67.5,47.0,51.0,48.5,53.5,48.5,49.0,66.0,53.5
21400,63.5,65.0,60.0,65.0,83.0,75.0,82.5,77.5,82.0,77.0
21600,65.5,56.5,66.5,62.5,51.5,51.0,46.0,46.0,51.0,51.0
21800,69.0,72.5,67.5,69.5,61.0,56.5,57.5,57.5,57.5,57.5
22000,79.0,75.0,71.5,77.0,64.5,63.0,63.5,63.5,63.0,63.0
22200,69.5,66.0,68.0,62.5,52.5,44.0,48.5,48.5,44.0,44.0
22400,69.5,71.5,64.5,63.0,59.5,60.0,63.0,64.5,61.0,62.5
22600,70.0,67.0,69.5,66.0,63.0,43.5,57.5,55.5,46.5,44.5
22800,71.0,71.5,68.0,66.0,67.0,65.0,67.5,68.5,67.5,68.5
23000,72.5,75.0,74.0,72.0,65.0,60.5,65.5,65.5,60.0,60.0
23200,73.0,69.0,71.5,62.5,66.0,57.5,59.5,63.0,56.0,62.5
23400,83.5,76.5,82.0,87.0,82.5,83.5,89.5,89.5,83.0,83.5
23600,70.5,67.0,73.5,65.5,68.5,56.0,64.5,64.5,53.0,54.0
23800,76.5,75.5,80.0,79.5,70.0,70.0,72.0,70.0,77.5,70.0
24000,60.5,61.0,52.5,47.5,50.5,51.5,42.5,42.5,37.0,37.0
24200,83.0,78.0,86.0,76.5,64.0,67.0,76.0,64.0,65.5,64.0
24400,76.5,78.5,77.0,82.0,84.0,79.0,87.5,85.5,82.5,81.5
24600,72.0,71.5,68.0,74.5,63.0,68.0,72.5,67.0,74.5,69.0
24800,65.0,62.0,66.5,59.5,62.0,52.5,59.5,51.5,59.5,51.5
25000,73.0,72.0,73.0,69.5,61.0,70.0,55.5,58.0,55.5,58.5
25200,75.5,67.5,64.5,70.5,74.0,68.0,72.0,69.5,72.0,65.0
25400,58.5,65.0,61.0,56.5,59.5,50.0,53.5,53.5,52.5,52.5
25600,64.5,64.0,67.0,62.0,61.5,68.0,43.0,49.0,42.0,50.0
25800,74.5,70.5,64.5,60.0,65.0,64.5,62.5,61.0,55.5,61.0
26000,67.0,76.5,71.5,74.0,75.5,71.5,79.0,78.5,70.0,63.0
26200,76.0,72.0,83.0,77.5,92.0,78.5,84.0,84.0,75.0,67.5
26400,78.5,76.5,69.0,65.5,70.0,63.5,66.0,66.5,63.5,63.5
26600,73.0,74.0,75.0,70.5,69.5,79.5,69.5,69.0,51.5,59.0
26800,78.5,73.0,78.0,68.5,78.0,72.0,67.5,67.5,58.5,67.0
27000,78.5,73.0,77.5,68.5,63.0,67.0,63.0,58.0,53.0,46.0
27200,62.0,65.5,68.5,57.5,70.5,53.0,50.5,50.5,44.5,60.0
27400,72.5,76.5,74.5,75.5,78.5,76.5,80.0,81.0,72.0,72.0
27600,68.0,67.0,66.5,70.0,60.0,68.0,65.5,65.5,70.0,53.5
27800,74.0,70.0,72.0,79.5,79.0,73.0,69.5,69.5,66.0,69.5
28000,55.5,62.5,58.0,62.5,59.0,59.5,56.5,56.5,65.0,71.5
28200,69.0,59.0,61.0,68.5,65.0,57.0,48.5,48.5,57.5,57.0
28400,65.0,60.5,57.5,63.0,56.0,57.0,57.0,55.5,58.0,58.0
28600,66.0,70.0,66.5,70.0,75.0,66.0,65.5,66.0,70.5,74.5
28800,68.0,67.0,60.0,65.0,63.5,63.5,63.5,63.5,63.5,63.5
29000,83.0,71.0,74.0,74.0,63.5,80.0,70.0,72.5,70.0,63.0
29200,74.0,67.0,76.5,79.0,78.5,79.0,76.0,76.0,69.0,73.5
29400,83.0,82.5,80.0,70.5,72.0,76.5,71.0,71.0,64.0,64.0
29600,63.5,66.0,72.5,68.5,67.0,66.5,67.0,68.5,61.0,68.0
29800,69.5,64.5,63.0,55.0,53.5,56.0,53.0,57.0,63.0,57.0
30000,64.0,63.0,67.5,73.0,53.0,44.0,39.0,36.5,59.5,59.0
30200,74.5,69.5,68.5,62.5,73.5,73.5,70.0,67.0,67.5,69.0
30400,71.5,75.0,72.5,77.5,62.0,65.0,54.0,54.0,54.0,54.0
30600,67.0,70.0,63.5,69.5,73.5,71.5,76.0,75.5,64.5,74.5
